,False Positive Rate (FPR),True Positive Rate (TPR),Thresholds
0,0.0,0.0,inf
1,0.0,0.023809523809523808,0.9999709564789139
2,0.0,0.23809523809523808,0.9702319651023932
3,0.021739130434782608,0.23809523809523808,0.9698977244485776
4,0.021739130434782608,0.30952380952380953,0.9636866814780325
5,0.043478260869565216,0.30952380952380953,0.9636141003049589
6,0.043478260869565216,0.42857142857142855,0.897628831668744
7,0.06521739130434782,0.42857142857142855,0.8967362933920426
8,0.06521739130434782,0.4523809523809524,0.892427508144567
9,0.08695652173913043,0.4523809523809524,0.8852542292328323
10,0.08695652173913043,0.47619047619047616,0.87887246594627
11,0.10869565217391304,0.47619047619047616,0.853013274915313
12,0.10869565217391304,0.5714285714285714,0.7509882195370459
13,0.15217391304347827,0.5714285714285714,0.7119941372789188
14,0.15217391304347827,0.5952380952380952,0.6859326111977213
15,0.2391304347826087,0.5952380952380952,0.4555387635081985
16,0.2391304347826087,0.6190476190476191,0.44387000226145173
17,0.2608695652173913,0.6190476190476191,0.4169115316496753
18,0.2608695652173913,0.6428571428571429,0.40155452158303034
19,0.32608695652173914,0.6428571428571429,0.37135781349774505
20,0.32608695652173914,0.7380952380952381,0.2959198140150977
21,0.3695652173913043,0.7380952380952381,0.27453420669629885
22,0.3695652173913043,0.7619047619047619,0.260634184603162
23,0.45652173913043476,0.7619047619047619,0.22022430663130818
24,0.45652173913043476,0.7857142857142857,0.21527152561631663
25,0.4782608695652174,0.7857142857142857,0.21319930756277822
26,0.4782608695652174,0.8095238095238095,0.20593758041270085
27,0.5,0.8095238095238095,0.18083448860745902
28,0.5,0.8333333333333334,0.16198815769122688
29,0.5217391304347826,0.8333333333333334,0.1522766704315528
30,0.5217391304347826,0.8571428571428571,0.11386439642273694
31,0.5869565217391305,0.8571428571428571,0.10158489789323977
32,0.5869565217391305,0.8809523809523809,0.09728835692657829
33,0.6086956521739131,0.8809523809523809,0.09199700179176935
34,0.6086956521739131,0.9047619047619048,0.08627436133108124
35,0.7608695652173914,0.9047619047619048,0.07058750032647847
36,0.7608695652173914,0.9285714285714286,0.07024268786260791
37,0.782608695652174,0.9285714285714286,0.05969931820798016
38,0.782608695652174,0.9761904761904762,0.05457826170168053
39,0.9782608695652174,0.9761904761904762,0.01823654193789963
40,0.9782608695652174,1.0,0.007871617975513112
41,1.0,1.0,0.00010195098581521167
